gender,age,income,education,borrowed_sharing_station,know__secondhand,use__secondhand,know__sharing,use__sharing,know__renting,use__renting,know__repair,use__repair,own__vacuum_cleaner,rent__vacuum_cleaner,usefreq__vacuum_cleaner,own__steam_cleaner,rent__steam_cleaner,usefreq__steam_cleaner,own__drill,rent__drill,usefreq__drill,own__video_projector,rent__video_projector,usefreq__video_projector,own__hand_sander,rent__hand_sander,usefreq__hand_sander,own__fitness_equipment,rent__fitness_equipment,usefreq__fitness_equipment,own__football_basketball,rent__football_basketball,usefreq__football_basketball,own__table_tennis,rent__table_tennis,usefreq__table_tennis,own__iron,rent__iron,usefreq__iron,own__sewing_machine,rent__sewing_machine,usefreq__sewing_machine,own__volleyball_set,rent__volleyball_set,usefreq__volleyball_set,own__foldable_chairs_table,rent__foldable_chairs_table,usefreq__foldable_chairs_table,own__carpet_cleaner,rent__carpet_cleaner,usefreq__carpet_cleaner,own__pressure_washer,rent__pressure_washer,usefreq__pressure_washer,reason_yes__to_save_money,reason_yes__to_have_more_goods_available,reason_yes__to_play_sports_or_relax,reason_yes__to_learn_new_things,reason_yes__to_create_opportunities_for_myself,reason_yes__to_meet_people,reason_yes__to_support_local_cooperation_and_community_building,reason_yes__to_support_equal_access_to_goods_for_everyone,reason_yes__to_reduce_consumption_and_or_support_the_environment,reason_no__lack_of_sharing_stations,reason_no__lack_of_information_on_how_sharing_stations_work,reason_no__lack_of_information_on_offered_products,reason_no__lack_of_product_availability,reason_no__lack_of_quality_and_maintenance,reason_no__lack_of_hygiene,reason_no__time_consuming,reason_no__it_is_too_complicated,reason_no__it_is_too_expensive,reason_no__i_am_used_to_owning_goods,reason_no__i_use_my_items_so_often_that_i_rather_own_them,reason_no__i_dont_trust_sharing_station_providers,reason_no__i_dont_think_it_makes_a_difference_for_the_environment
Woman,26–35,Slightly above median,Higher education,no,1,1,1,0,1,0,1,0,1,0,4,1,0,1.0,1,0,2.0,0,0,1.0,0,1,1.0,0,0,1.0,1,0,5.0,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,1,1,2.0,0,1,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Slightly above median,Higher education,no,1,1,1,0,1,0,0,0,1,0,4,0,1,2.0,0,0,2.0,0,1,2.0,0,0,2.0,1,0,2.0,0,0,1.0,0,0,1.0,0,0,3.0,1,0,2.0,0,0,1.0,0,0,2.0,0,1,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,1,1,0,1,0,1,0,1,0,5,0,1,1.0,1,0,3.0,0,1,1.0,0,1,1.0,0,0,2.0,1,0,3.0,0,0,1.0,0,0,2.0,1,0,2.0,0,0,1.0,0,1,2.0,0,1,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly below median,Higher education,no,1,0,0,0,1,0,1,0,1,0,4,0,0,1.0,0,1,2.0,0,0,1.0,0,0,1.0,1,0,3.0,0,0,1.0,0,0,1.0,1,0,2.0,0,1,1.0,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Man,46–55,Slightly below median,Higher education,no,1,0,1,0,1,0,1,0,1,0,4,0,1,1.0,1,0,2.0,0,0,2.0,0,0,2.0,0,0,2.0,1,0,1.0,0,0,1.0,1,0,2.0,0,0,2.0,0,0,1.0,1,0,3.0,0,1,2.0,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Slightly above median,Higher education,no,1,1,1,0,1,0,1,0,1,0,4,0,1,2.0,1,0,3.0,1,0,4.0,0,1,2.0,0,1,3.0,1,0,5.0,0,0,2.0,1,0,3.0,0,0,2.0,0,0,2.0,1,1,2.0,0,1,2.0,0,1,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,0,0,0,1,0,0,0,1,0,4,1,0,3.0,0,1,1.0,0,0,1.0,0,1,1.0,0,0,1.0,1,0,3.0,1,0,2.0,1,0,2.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Man,26–35,Slightly above median,Higher education,no,0,0,0,0,1,0,0,0,1,0,3,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,1,0,5.0,0,0,1.0,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,1,0,3.0,0,0,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Woman,26–35,Well above median,Higher education,no,1,1,1,0,1,1,0,0,1,0,4,0,1,2.0,1,0,2.0,0,0,1.0,0,0,1.0,0,0,2.0,0,0,5.0,0,0,1.0,1,0,2.0,0,1,1.0,0,0,2.0,0,0,3.0,0,1,1.0,0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,1,0,0,1,1,1,0,1,0,4,1,0,2.0,1,0,4.0,0,0,1.0,1,0,2.0,1,0,2.0,1,0,5.0,0,0,1.0,1,0,2.0,0,1,1.0,0,0,1.0,1,0,3.0,0,1,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Around median,Secondary / vocational education,no,1,1,1,0,1,0,1,0,1,0,3,0,0,1.0,1,0,2.0,0,0,1.0,1,0,2.0,0,0,2.0,1,0,4.0,0,0,1.0,1,0,2.0,1,0,1.0,0,0,1.0,0,0,2.0,0,0,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,1,1,1,1,1,0,0,1,0,4,0,1,1.0,0,1,2.0,0,0,2.0,0,1,2.0,0,1,4.0,1,0,4.0,0,0,1.0,1,0,3.0,0,0,1.0,0,0,1.0,1,0,4.0,0,1,2.0,0,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Man,36–45,Around median,Primary education,no,1,0,1,0,1,0,0,0,1,0,4,1,1,2.0,1,0,4.0,0,0,,1,0,2.0,0,0,,1,0,4.0,1,0,1.0,1,0,2.0,0,0,,0,0,,1,0,3.0,1,1,2.0,1,0,3.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Woman,26–35,Slightly above median,Higher education,no,1,0,0,0,1,0,0,0,1,0,4,1,1,2.0,1,0,2.0,0,1,1.0,0,1,1.0,1,0,1.0,1,0,4.0,0,0,1.0,1,0,3.0,0,1,1.0,0,1,1.0,0,1,2.0,0,1,2.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Man,56–65,Slightly above median,Secondary / vocational education,no,1,1,1,1,1,0,0,0,1,0,4,0,1,1.0,1,0,4.0,1,1,2.0,0,1,2.0,0,0,2.0,1,0,3.0,1,0,2.0,1,0,4.0,0,1,2.0,0,1,1.0,0,1,2.0,0,1,2.0,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Around median,Higher education,no,1,1,1,0,1,0,0,0,1,0,4,0,1,1.0,0,1,2.0,0,0,1.0,0,1,1.0,0,0,4.0,0,0,2.0,0,0,1.0,1,1,2.0,0,1,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,0,1,0,1,0,0,0,1,0,4,0,0,1.0,1,0,2.0,0,0,1.0,1,0,2.0,1,0,4.0,0,0,1.0,0,0,1.0,1,0,3.0,1,0,4.0,0,0,2.0,1,0,2.0,0,0,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Man,56–65,Slightly below median,Primary education,no,0,0,0,0,0,0,0,0,1,0,5,0,0,4.0,0,0,,0,0,5.0,0,0,4.0,0,0,5.0,1,0,5.0,0,0,1.0,0,0,1.0,0,0,3.0,0,0,1.0,0,0,4.0,0,0,4.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Woman,36–45,Well above median,Higher education,yes,1,0,1,0,1,1,1,0,1,0,4,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,1,1,4.0,1,0,4.0,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,1,1,2.0,0,0,2.0,1,1,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Slightly above median,Higher education,no,1,1,1,1,1,0,1,0,1,0,4,0,1,2.0,0,1,2.0,0,1,2.0,0,1,2.0,0,1,2.0,0,1,2.0,0,1,2.0,1,0,3.0,0,1,2.0,0,1,2.0,0,1,2.0,0,1,2.0,0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Man,56–65,Slightly above median,Higher education,no,1,0,1,0,1,1,0,0,1,0,2,0,0,1.0,0,1,2.0,0,0,1.0,0,1,2.0,0,0,1.0,0,0,1.0,1,0,2.0,0,0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Man,56–65,Slightly below median,Primary education,yes,1,0,0,0,1,1,1,0,1,0,4,0,1,1.0,1,0,5.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Well below median,Higher education,no,1,0,1,0,1,0,1,0,0,1,4,0,1,1.0,0,1,2.0,0,1,1.0,0,1,1.0,0,1,4.0,0,1,3.0,0,1,1.0,0,1,1.0,0,1,1.0,0,1,3.0,0,1,3.0,0,1,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Man,26–35,Slightly above median,Higher education,no,1,0,1,0,1,0,1,0,1,0,4,0,0,1.0,1,1,2.0,0,0,1.0,0,0,1.0,1,0,5.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Slightly below median,Higher education,no,1,0,1,1,1,1,1,0,1,0,4,1,0,3.0,0,1,2.0,0,0,1.0,0,1,1.0,1,1,4.0,1,1,2.0,0,0,1.0,1,0,2.0,1,0,2.0,0,1,2.0,0,1,2.0,0,0,1.0,0,1,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,1,1,0,1,1,1,0,1,0,4,0,1,2.0,0,1,2.0,0,0,1.0,0,1,1.0,1,0,3.0,1,0,4.0,0,0,1.0,1,0,3.0,1,0,2.0,0,0,1.0,0,1,1.0,0,1,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Well below median,Secondary / vocational education,no,1,1,1,0,1,1,1,1,1,0,5,1,0,2.0,1,0,2.0,0,1,1.0,0,1,2.0,1,0,4.0,0,0,5.0,0,0,4.0,1,0,5.0,1,1,4.0,0,0,4.0,0,1,4.0,1,0,2.0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Woman,26–35,Slightly above median,Higher education,yes,1,0,1,0,1,0,0,0,1,0,4,0,1,1.0,1,0,2.0,0,0,1.0,0,0,1.0,1,0,4.0,1,0,4.0,0,0,1.0,1,0,3.0,0,1,1.0,0,0,1.0,1,0,2.0,0,1,2.0,1,0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Well below median,Higher education,no,1,1,1,1,1,1,1,1,1,1,5,1,1,3.0,1,1,3.0,0,1,1.0,0,1,2.0,1,1,4.0,0,1,1.0,0,1,1.0,1,1,3.0,1,1,2.0,0,1,1.0,1,1,2.0,0,1,2.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Woman,26–35,Well below median,Higher education,no,1,1,1,1,1,0,1,0,1,0,4,0,1,2.0,0,1,2.0,0,0,1.0,0,0,1.0,0,1,4.0,0,0,2.0,0,0,2.0,1,0,2.0,0,1,1.0,0,0,1.0,0,1,2.0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Man,56–65,Around median,Higher education,yes,1,1,1,0,1,1,0,1,1,0,4,0,0,,1,0,3.0,0,0,,0,0,,1,0,5.0,0,0,,0,0,,1,0,3.0,1,0,3.0,0,0,,1,0,4.0,0,0,,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,46–55,Well above median,Primary education,no,1,1,1,1,1,0,0,0,1,0,4,0,1,3.0,1,1,2.0,0,1,2.0,0,1,2.0,0,1,1.0,0,0,1.0,0,0,1.0,1,1,3.0,1,1,3.0,0,0,1.0,0,1,2.0,1,1,3.0,1,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,1,1,0,1,0,1,0,1,0,4,0,1,2.0,0,0,2.0,1,0,2.0,0,1,2.0,0,0,2.0,1,0,2.0,0,0,2.0,1,0,3.0,1,0,3.0,0,0,1.0,0,0,1.0,0,0,2.0,1,0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Woman,65+,Slightly above median,Higher education,yes,1,1,1,1,1,0,1,1,1,0,5,0,0,1.0,1,1,2.0,0,0,1.0,1,1,2.0,0,0,1.0,0,0,1.0,0,0,1.0,1,0,4.0,1,0,3.0,0,0,1.0,0,0,5.0,0,0,1.0,1,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,46–55,Around median,Higher education,no,1,1,1,0,1,0,0,0,1,0,4,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,1,1,2.0,1,0,1.0,0,0,1.0,1,0,3.0,0,0,1.0,0,1,1.0,0,0,1.0,0,1,1.0,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,46–55,Slightly above median,Doctorate / PhD,no,1,1,1,0,1,1,1,1,1,0,2,0,1,1.0,1,1,2.0,0,1,2.0,0,1,2.0,0,0,1.0,0,0,2.0,0,0,1.0,1,0,2.0,1,1,1.0,0,0,1.0,0,0,2.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Man,18–25,Well below median,Secondary / vocational education,no,1,1,1,0,1,1,1,0,1,0,4,0,0,2.0,0,0,3.0,0,1,3.0,0,0,1.0,0,0,3.0,0,0,1.0,0,1,2.0,0,0,2.0,0,0,2.0,0,0,1.0,0,1,2.0,0,1,1.0,0,1,2.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Well above median,Higher education,yes,1,1,1,0,1,1,1,0,1,0,4,1,1,2.0,1,0,2.0,0,1,1.0,0,0,1.0,0,1,1.0,0,0,2.0,0,0,1.0,1,0,3.0,1,1,2.0,0,0,1.0,0,0,1.0,0,1,1.0,1,1,2.0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,36–45,Slightly above median,Higher education,yes,1,1,1,1,1,1,1,1,1,0,4,0,1,1.0,0,1,2.0,0,0,1.0,0,0,1.0,1,0,4.0,1,0,4.0,0,0,1.0,1,0,4.0,1,0,4.0,0,1,1.0,0,1,2.0,0,1,1.0,0,1,2.0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Woman,18–25,Around median,Secondary / vocational education,no,1,1,1,0,1,1,0,0,1,0,4,0,1,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,3.0,0,1,2.0,0,1,1.0,1,0,3.0,0,1,1.0,0,1,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Secondary / vocational education,yes,1,1,1,0,1,1,1,0,1,0,4,0,1,2.0,1,0,2.0,0,0,1.0,1,0,2.0,0,0,2.0,1,0,2.0,0,0,1.0,1,0,2.0,1,0,2.0,0,0,1.0,1,0,2.0,0,1,1.0,1,0,2.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,56–65,Well below median,Primary education,no,1,0,0,0,1,0,0,0,1,0,3,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Man,46–55,Slightly above median,Doctorate / PhD,no,1,0,1,0,1,1,1,0,1,0,3,0,0,1.0,1,1,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,5.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Slightly above median,Higher education,no,1,0,1,0,0,0,0,0,1,0,4,0,1,2.0,1,0,2.0,0,0,2.0,0,1,2.0,0,1,2.0,1,1,2.0,0,0,2.0,0,0,2.0,0,0,2.0,0,0,2.0,0,1,2.0,0,0,2.0,0,1,2.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Woman,46–55,Well above median,Higher education,yes,1,1,1,0,1,0,1,0,1,0,4,0,0,2.0,1,0,2.0,0,0,1.0,1,0,2.0,1,0,3.0,1,0,1.0,0,0,1.0,1,0,4.0,1,0,2.0,0,0,1.0,1,0,2.0,0,1,2.0,1,1,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,65+,Slightly above median,Secondary / vocational education,yes,1,0,1,1,1,0,1,0,1,0,4,1,0,2.0,1,0,4.0,0,0,1.0,0,0,2.0,0,0,5.0,0,0,1.0,0,0,1.0,1,0,4.0,1,0,3.0,0,0,1.0,0,0,1.0,0,0,2.0,0,0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,36–45,Slightly above median,Doctorate / PhD,no,1,1,1,1,1,1,1,0,1,0,4,0,1,1.0,1,1,2.0,0,1,1.0,0,1,1.0,0,1,1.0,1,1,5.0,0,1,1.0,1,0,5.0,0,1,1.0,0,1,2.0,0,1,3.0,0,1,1.0,0,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Woman,36–45,Slightly below median,Higher education,yes,1,1,0,0,1,1,1,0,1,0,5,0,1,1.0,1,0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1,0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,46–55,Slightly above median,Higher education,yes,1,1,1,0,1,1,1,0,1,0,4,0,0,1.0,1,0,4.0,0,0,1.0,0,0,1.0,1,0,4.0,1,0,4.0,0,0,1.0,1,0,3.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Woman,36–45,Around median,Higher education,yes,1,1,1,1,1,1,1,1,1,0,5,0,1,2.0,1,1,3.0,0,1,1.0,1,1,3.0,1,0,4.0,1,0,5.0,1,1,4.0,1,0,4.0,1,1,3.0,0,1,2.0,0,1,2.0,0,1,1.0,1,1,2.0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,56–65,Around median,Higher education,no,1,0,1,0,1,0,1,0,1,0,4,0,1,2.0,1,0,2.0,0,0,1.0,1,0,2.0,1,0,2.0,0,0,1.0,0,0,1.0,1,0,2.0,0,1,1.0,0,0,1.0,1,1,4.0,0,0,1.0,0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Prefer not to say,56–65,Around median,Higher education,no,1,1,1,0,1,0,1,1,1,0,4,0,1,,0,1,,0,0,,1,0,2.0,0,1,,0,0,,0,0,,1,0,3.0,1,0,3.0,0,0,,1,1,2.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
